,Datetime,Pair,Side,Size,Funds,Fee,Fee currency,Broker
0,2021-01-15 10:06:49,BTC-USD,buy,0.05,-2500.0,12.5,USD,Coinbase Pro
1,2021-01-20 14:32:10,ETH-USD,buy,1.0,-1200.0,6.0,USD,Binance
2,2021-01-25 17:45:20,BTC-USD,sell,-0.02,1100.0,5.5,USD,Kraken
3,2021-02-01 11:15:35,ETH-USD,buy,0.5,-600.0,3.0,USD,Coinbase Pro
4,2021-02-10 09:45:55,XRP-USD,buy,1500.0,-750.0,3.75,USD,Binance
5,2021-02-20 13:25:44,LTC-USD,buy,5.0,-1000.0,5.0,USD,Kraken
6,2021-03-01 16:32:10,ETH-USD,sell,-1.0,1400.0,7.0,USD,Coinbase Pro
7,2021-03-10 18:45:20,BTC-USD,sell,-0.02,1300.0,6.5,USD,Binance
8,2021-03-20 14:15:37,XRP-USD,sell,-500.0,350.0,1.75,USD,Kraken
9,2021-04-01 09:05:29,LTC-USD,sell,-2.0,450.0,2.25,USD,Coinbase Pro
10,2021-04-15 08:15:29,BTC-USD,buy,0.03,-1500.0,7.5,USD,Binance
11,2021-05-01 11:20:29,ETH-USD,buy,0.7,-840.0,4.2,USD,Kraken
12,2021-05-12 19:55:29,XRP-USD,buy,1000.0,-500.0,2.5,USD,Coinbase Pro
13,2021-06-01 12:34:29,LTC-USD,sell,-1.0,250.0,1.25,USD,Binance
14,2021-06-15 14:45:29,BTC-USD,sell,-0.01,700.0,3.5,USD,Kraken
15,2022-07-01 10:25:29,ETH-USD,sell,-0.5,750.0,3.75,USD,Coinbase Pro
16,2021-07-15 13:55:29,XRP-USD,buy,800.0,-400.0,2.0,USD,Binance
17,2021-08-01 16:10:29,LTC-USD,buy,3.0,-600.0,3.0,USD,Kraken
18,2021-08-15 18:20:29,BTC-USD,buy,0.04,-2000.0,10.0,USD,Coinbase Pro
19,2021-09-01 14:55:29,ETH-USD,buy,0.6,-720.0,3.6,USD,Binance
